Z Q M X A Y B DT DK COL
86 84 223.00000 0.20063538E-12 -.12929871E-12 0.00000000E+00 0.00000000E+00 0.38219409E-12 0.11812773E-12 01
86 84 223.00000 0.20280860E-02 0.13796411E-01 -.77362524E-03 -.11069379E-01 0.50859424E-01 0.36230397E-03 01
86 84 223.00000 -.16481212E-02 0.48489079E-02 0.30743783E-03 0.25333207E-02 -.99905168E-02 -.34586057E-03 01
86 84 223.00000 0.79017849E-03 0.15758214E-01 -.55015702E-03 0.25504388E-02 0.65066915E-01 0.14383075E-03 01
86 84 223.00000 0.17697926E-03 0.23455305E-01 0.59340030E-03 0.22167205E-02 0.67661881E-01 -.29394703E-03 01
86 84 223.00000 -.31097528E-03 0.11534779E-01 0.11438299E-03 -.63282912E-02 0.59530728E-02 -.63175731E-04 01
86 84 223.00000 0.48387361E-03 0.78528006E-02 0.35807174E-03 0.94152999E-02 0.60628834E-02 0.12191600E-03 01
86 84 223.00000 0.13704128E-03 -.13909578E-01 0.41152188E-04 0.15901023E-02 -.33692814E-01 0.33463852E-03 01
86 84 223.00000 0.76095699E-03 0.11400156E-01 -.23963885E-02 -.12426733E-01 0.41119218E-01 0.13494492E-03 01
86 84 223.00000 -.12589924E-02 0.65183291E-02 -.29931563E-04 -.70016566E-02 0.21785883E-01 -.26026475E-03 01
86 84 223.00000 0.58739114E-04 0.31506621E-02 0.18813122E-03 0.12330254E-01 0.22960840E-01 0.80984680E-04 01
86 84 223.00000 0.56740885E-03 -.11984392E-01 -.81777195E-04 -.48448411E-02 -.65316946E-03 0.31013095E-03 01
86 84 223.00000 0.32894295E-02 -.12032248E-01 0.19559612E-03 -.12962293E-01 -.10983373E-01 0.85946239E-03 01
86 84 223.00000 0.39336360E-03 0.44209969E-02 0.82589477E-03 0.89132015E-02 0.10923601E-01 0.97426065E-04 01
86 84 223.00000 0.10570444E-02 0.18388812E-01 0.15337281E-03 -.51200647E-02 0.36322187E-01 0.11906933E-03 01
86 84 223.00000 0.58667947E-02 -.58969644E-02 0.47527859E-01 0.22325676E-01 0.10367236E-01 0.11246616E-02 01
86 84 223.00000 0.48547578E-03 -.50995360E-02 0.45225091E-03 0.52771704E-02 -.90844050E-02 0.12407946E-03 01
86 84 223.00000 0.80977240E-02 0.14243938E-01 0.61704697E-02 0.13575930E-01 0.15693572E-01 0.10808982E-02 01
86 84 223.00000 -.24356010E-03 0.18976736E-02 -.97394922E-02 -.14830891E-01 0.22396380E-01 0.34190680E-03 01
86 84 223.00000 0.24412295E-02 -.68072128E-02 0.41753387E-03 0.10726314E-01 -.82538157E-02 0.56247795E-03 01
86 84 223.00000 -.78638286E-04 0.46970771E-02 -.46269898E-02 -.13398450E-01 -.12445900E-01 0.12394766E-03 01
86 84 223.00000 0.15016844E-01 -.21694962E-01 0.14942005E-01 0.18838851E-01 -.12634571E-01 0.43688870E-02 01
86 84 223.00000 -.25506031E-02 -.15652432E-01 0.21200608E-03 0.95608040E-02 -.29880150E-01 0.18985803E-03 01
86 84 223.00000 0.39292701E-03 -.11397861E-01 0.18620636E-03 -.10286932E-01 -.33280572E-01 0.28991256E-03 01
86 84 223.00000 0.10449303E-02 0.49067182E-02 0.92738464E-03 0.11877651E-01 0.34559084E-01 0.28128985E-03 01
86 84 223.00000 0.15742044E-02 0.11904316E-02 0.40068456E-04 0.46735789E-02 0.26778248E-01 0.33716526E-03 01
86 84 223.00000 -.20845256E-04 0.63556493E-02 -.63753010E-02 -.14405729E-01 0.28699794E-01 0.18795577E-03 01
86 84 223.00000 -.83886154E-03 0.48092426E-03 0.40904589E-03 0.51063172E-02 -.92288507E-02 -.17348156E-03 01
86 84 223.00000 0.12048673E-02 -.42629250E-02 -.16402871E-01 -.14169251E-01 0.22545724E-01 0.87694694E-03 01
86 84 223.00000 0.70398461E-03 0.21639265E-02 0.27068642E-03 0.64307965E-02 0.12219126E-02 0.15578494E-03 01
86 84 223.00000 0.49835716E-02 -.10624277E-01 0.15148055E-02 0.13485021E-01 -.93332938E-02 0.12078535E-02 01
86 84 223.00000 0.82889703E-03 0.10454967E-01 -.30304266E-02 -.12491795E-01 0.35677649E-01 0.16525426E-03 01
86 84 223.00000 0.32730787E-02 0.28777192E-01 0.16847484E-04 0.14492076E-02 0.77389459E-01 -.66481127E-04 01
86 84 223.00000 0.41576554E-01 0.21860327E-01 -.11636034E-01 -.32465732E-02 0.13913163E+00 0.35120351E-02 01
86 84 223.00000 -.33885425E-02 -.90529068E-02 0.48687348E-03 0.33021705E-02 -.38534446E-01 -.45427126E-03 01
86 84 223.00000 0.19236152E+00 -.43942937E-01 0.60725650E-01 -.18836263E-01 0.23150715E+00 0.13245726E-01 01
86 84 223.00000 0.64836839E-02 0.27475275E-01 0.20462394E-02 0.63905512E-02 0.62212428E-01 0.43943774E-03 01
86 84 223.00000 -.11703236E-04 -.10688083E-01 -.56762443E-03 -.47166527E-02 -.45818204E-01 0.16442404E-03 01
86 84 223.00000 -.18819755E-03 -.27623936E-02 -.31287678E-03 -.85552749E-02 -.39724767E-01 -.15679155E-04 01
86 84 223.00000 0.18522484E-02 -.11366087E-01 -.52683930E-01 -.17531241E-01 -.91755077E-02 0.20943230E-02 01
86 84 223.00000 0.29420355E-02 0.24148731E-01 -.10749777E-02 -.31605138E-02 0.43302420E-01 0.23238549E-03 01
86 84 223.00000 0.79897278E-04 0.12157902E-01 -.28556146E-03 0.82322652E-02 0.27473808E-01 0.15319826E-04 01
86 84 223.00000 0.21820795E-01 0.27065108E-02 -.17125731E-01 -.17401431E-01 0.36909036E-01 0.27430308E-02 01
86 84 223.00000 0.61207566E-02 0.22783478E-01 -.11341009E-02 -.86513479E-02 0.60097416E-01 0.72584231E-03 01
86 84 223.00000 0.25499892E-02 0.82838809E-02 0.12668603E-03 0.12074139E-01 0.14044597E-01 0.60354284E-03 01
86 84 223.00000 0.20423025E-02 -.18139685E-02 -.23722745E-03 -.87702254E-02 0.58782371E-02 0.44065768E-03 01
86 84 223.00000 -.20470758E-02 -.75412011E-02 -.45870199E-03 0.25515529E-02 -.43687483E-01 -.29213890E-03 01
86 84 223.00000 -.10204110E-02 -.46504702E-02 0.19933092E-02 0.12745093E-01 -.16137483E-01 -.81949562E-04 01
86 84 223.00000 0.77915294E-04 0.21589992E-01 -.59934204E-03 -.21255560E-02 0.32710563E-01 -.21487414E-03 01
